"ID";"RegioS";"Perioden";"TotaleBevolking_1";"BinnenlandsMigratiesaldo_71";"BinnenlandsMigratiesaldoRelatief_72";"Migratiesaldo_76";"TotaalParticuliereHuishoudens_140";"BedrijfsvestigingenTotaal_168";"Naam_294"
"176";"PV22  ";"2003JJ00";"  481254";"     164";"     0.3";"    -212";"";"";"                                                  "
"177";"PV22  ";"2004JJ00";"  482415";"     125";"     0.3";"    -228";"";"";"                                                  "
"178";"PV22  ";"2005JJ00";"  483369";"    1035";"     2.1";"    -759";"";"";"                                                  "
"179";"PV22  ";"2006JJ00";"  484481";"    1189";"     2.4";"    -256";"    28.5";"";"                                                  "
"180";"PV22  ";"2007JJ00";"  486197";"    1344";"     2.8";"      38";"    29.9";"";"                                                  "
"181";"PV22  ";"2008JJ00";"  488135";"    1068";"     2.2";"     212";"    31.8";"";"                                                  "
"182";"PV22  ";"2009JJ00";"  489918";"     -61";"    -0.1";"     617";"    32.7";"";"                                                  "
"183";"PV22  ";"2010JJ00";"  490981";"    -303";"    -0.6";"     634";"    32.8";"";"                                                  "
"184";"PV22  ";"2011JJ00";"  491411";"    -839";"    -1.7";"     267";"    32.7";"";"                                                  "
"185";"PV22  ";"2012JJ00";"  490807";"    -721";"    -1.5";"     266";"    32.8";"";"                                                  "
"186";"PV22  ";"2013JJ00";"  489918";"    -844";"    -1.7";"     531";"    33.1";"   34630";"                                                  "
"187";"PV22  ";"2014JJ00";"  488988";"    -651";"    -1.3";"     547";"    33.3";"   35230";"                                                  "
"188";"PV22  ";"2015JJ00";"  488576";"   -1062";"    -2.2";"    2072";"    34.5";"   36440";"                                                  "
"189";"PV22  ";"2016JJ00";"  488629";"   -6600";"   -13.5";"   10625";"";"   37555";"                                                  "
"190";"PV22  ";"2017JJ00";"  491792";"";"";"";"";"   38210";"                                                  "
"191";"PV22  ";"2018JJ00";"  492205";"";"";"";"";"";"                                                  "
"192";"PV23  ";"1995JJ00";" 1050389";"   -1727";"    -1.6";"    1530";"";"";"                                                  "
"193";"PV23  ";"1996JJ00";" 1053966";"   -1665";"    -1.6";"    1633";"";"";"                                                  "
"194";"PV23  ";"1997JJ00";" 1057944";"    -649";"    -0.6";"    2084";"";"";"                                                  "
"195";"PV23  ";"1998JJ00";" 1063527";"    -118";"    -0.1";"    2085";"";"";"                                                  "
"196";"PV23  ";"1999JJ00";" 1070444";"    -217";"    -0.2";"    2631";"";"";"                                                  "
"197";"PV23  ";"2000JJ00";" 1077625";"    -473";"    -0.4";"    3758";"";"";"                                                  "
"198";"PV23  ";"2001JJ00";" 1086280";"    -268";"    -0.2";"    2914";"";"";"                                                  "
"199";"PV23  ";"2002JJ00";" 1094032";"     789";"     0.7";"     878";"";"";"                                                  "
"200";"PV23  ";"2003JJ00";" 1100677";"       4";"     0.0";"    -608";"";"";"                                                  "
"201";"PV23  ";"2004JJ00";" 1105512";"    -167";"    -0.2";"    -838";"";"";"                                                  "
"202";"PV23  ";"2005JJ00";" 1109432";"     527";"     0.5";"   -1217";"";"";"                                                  "
"203";"PV23  ";"2006JJ00";" 1113529";"     173";"     0.2";"   -1762";"    29.0";"";"                                                  "
"204";"PV23  ";"2007JJ00";" 1116374";"    -252";"    -0.2";"    -822";"    30.4";"";"                                                  "
"205";"PV23  ";"2008JJ00";" 1119994";"    -557";"    -0.5";"    1470";"    32.4";"";"                                                  "
"206";"PV23  ";"2009JJ00";" 1125435";"   -1161";"    -1.0";"    1918";"    33.2";"";"                                                  "
"207";"PV23  ";"2010JJ00";" 1130345";"   -1218";"    -1.1";"    1451";"    33.2";"";"                                                  "
"208";"PV23  ";"2011JJ00";" 1134465";"   -1210";"    -1.1";"     994";"    33.2";"";"                                                  "
"209";"PV23  ";"2012JJ00";" 1137668";"   -1977";"    -1.7";"     714";"    33.2";"";"                                                  "
"210";"PV23  ";"2013JJ00";" 1139350";"   -2109";"    -1.9";"      42";"    33.5";"   81295";"                                                  "
"211";"PV23  ";"2014JJ00";" 1139697";"   -1901";"    -1.7";"     392";"    33.8";"   82545";"                                                  "
"212";"PV23  ";"2015JJ00";" 1140652";"    -565";"    -0.5";"    2408";"    35.1";"   85755";"                                                  "
"213";"PV23  ";"2016JJ00";" 1144280";"     262";"     0.2";"    1575";"";"   88505";"                                                  "
"214";"PV23  ";"2017JJ00";" 1147687";"";"";"";"";"   90340";"                                                  "
"215";"PV23  ";"2018JJ00";" 1151573";"";"";"";"";"";"                                                  "
"216";"PV24  ";"1995JJ00";"  262325";"    7465";"    27.9";"     343";"";"";"                                                  "
"217";"PV24  ";"1996JJ00";"  272843";"    5431";"    19.6";"     470";"";"";"                                                  "
"218";"PV24  ";"1997JJ00";"  281472";"    7229";"    25.2";"    1582";"";"";"                                                  "
"219";"PV24  ";"1998JJ00";"  293286";"    8487";"    28.3";"    1526";"";"";"                                                  "
"220";"PV24  ";"1999JJ00";"  306468";"    6081";"    19.5";"    1354";"";"";"                                                  "
"221";"PV24  ";"2000JJ00";"  317206";"    6658";"    20.6";"    1681";"";"";"                                                  "
"222";"PV24  ";"2001JJ00";"  328936";"    6814";"    20.3";"    2271";"";"";"                                                  "
"223";"PV24  ";"2002JJ00";"  341721";"    4659";"    13.4";"    1424";"";"";"                                                  "
"224";"PV24  ";"2003JJ00";"  351680";"    4525";"    12.7";"     451";"";"";"                                                  "
"225";"PV24  ";"2004JJ00";"  359904";"    3039";"     8.4";"    -695";"";"";"                                                  "
"226";"PV24  ";"2005JJ00";"  365859";"    2033";"     5.5";"    -577";"";"";"                                                  "
"227";"PV24  ";"2006JJ00";"  370656";"    1192";"     3.2";"    -724";"    29.7";"";"                                                  "
"228";"PV24  ";"2007JJ00";"  374424";"     997";"     2.6";"     -15";"    31.5";"";"                                                  "
"229";"PV24  ";"2008JJ00";"  378688";"     431";"     1.1";"    1092";"    33.8";"";"                                                  "
"230";"PV24  ";"2009JJ00";"  383449";"    -388";"    -1.0";"    1474";"    34.5";"";"                                                  "
"231";"PV24  ";"2010JJ00";"  387881";"    -395";"    -1.0";"    1301";"    34.5";"";"                                                  "
"232";"PV24  ";"2011JJ00";"  391967";"    -715";"    -1.8";"    1339";"    34.6";"";"                                                  "
"233";"PV24  ";"2012JJ00";"  395525";"    -976";"    -2.5";"    1100";"    34.7";"";"                                                  "
"234";"PV24  ";"2013JJ00";"  398441";"   -2276";"    -5.7";"    1278";"    34.5";"   29795";"                                                  "
"235";"PV24  ";"2014JJ00";"  399893";"   -3369";"    -8.4";"    2186";"    35.0";"   30370";"                                                  "
"236";"PV24  ";"2015JJ00";"  401791";"   -3194";"    -7.9";"    2984";"    36.2";"   31780";"                                                  "
"237";"PV24  ";"2016JJ00";"  404068";"   -1411";"    -3.5";"    2826";"";"   32995";"                                                  "
"238";"PV24  ";"2017JJ00";"  407818";"";"";"";"";"   33820";"                                                  "
"239";"PV24  ";"2018JJ00";"  411669";"";"";"";"";"";"                                                  "
"240";"PV25  ";"1995JJ00";" 1864732";"    1238";"     0.7";"    3220";"";"";"                                                  "
"241";"PV25  ";"1996JJ00";" 1876299";"     815";"     0.4";"    2041";"";"";"                                                  "
"242";"PV25  ";"1997JJ00";" 1886109";"     596";"     0.3";"    2248";"";"";"                                                  "
"243";"PV25  ";"1998JJ00";" 1895656";"    -553";"    -0.3";"    3741";"";"";"                                                  "
"244";"PV25  ";"1999JJ00";" 1906778";"     483";"     0.3";"    4111";"";"";"                                                  "
"245";"PV25  ";"2000JJ00";" 1919158";"    1658";"     0.9";"    4720";"";"";"                                                  "
"246";"PV25  ";"2001JJ00";" 1934314";"    1404";"     0.7";"    5019";"";"";"                                                  "
"247";"PV25  ";"2002JJ00";" 1949233";"     647";"     0.3";"    2759";"";"";"                                                  "
"248";"PV25  ";"2003JJ00";" 1960422";"      52";"     0.0";"    -695";"";"";"                                                  "
"249";"PV25  ";"2004JJ00";" 1966929";"     608";"     0.3";"   -2887";"";"";"                                                  "
"250";"PV25  ";"2005JJ00";" 1972010";"     720";"     0.4";"   -2820";"";"";"                                                  "
"251";"PV25  ";"2006JJ00";" 1975704";"    -372";"    -0.2";"   -2640";"    30.2";"";"                                                  "
"252";"PV25  ";"2007JJ00";" 1979059";"     345";"     0.2";"   -1032";"    31.7";"";"                                                  "
"253";"PV25  ";"2008JJ00";" 1983869";"    1009";"     0.5";"     352";"    34.0";"";"                                                  "
