"ID";"RegioS";"Perioden";"TotaleBevolking_1";"BinnenlandsMigratiesaldo_71";"BinnenlandsMigratiesaldoRelatief_72";"Migratiesaldo_76";"TotaalParticuliereHuishoudens_140";"BedrijfsvestigingenTotaal_168";"Naam_294"
"368";"PV30  ";"2003JJ00";" 2400198";"    -640";"    -0.3";"   -2762";"";"";"                                                  "
"369";"PV30  ";"2004JJ00";" 2406994";"    -950";"    -0.4";"   -3968";"";"";"                                                  "
"370";"PV30  ";"2005JJ00";" 2411359";"     119";"     0.0";"   -3313";"";"";"                                                  "
"371";"PV30  ";"2006JJ00";" 2415946";"   -1174";"    -0.5";"   -3229";"    30.7";"";"                                                  "
"372";"PV30  ";"2007JJ00";" 2419042";"    -475";"    -0.2";"    -797";"    32.2";"";"                                                  "
"373";"PV30  ";"2008JJ00";" 2424827";"   -1096";"    -0.5";"    3720";"    34.5";"";"                                                  "
"374";"PV30  ";"2009JJ00";" 2434560";"   -1153";"    -0.5";"    4030";"    35.1";"";"                                                  "
"375";"PV30  ";"2010JJ00";" 2444158";"    -945";"    -0.4";"    5015";"    35.2";"";"                                                  "
"376";"PV30  ";"2011JJ00";" 2454215";"     488";"     0.2";"    3692";"    35.1";"";"                                                  "
"377";"PV30  ";"2012JJ00";" 2463686";"     256";"     0.1";"    3435";"    35.1";"";"                                                  "
"378";"PV30  ";"2013JJ00";" 2471011";"     506";"     0.2";"    4692";"    35.4";"  204485";"                                                  "
"379";"PV30  ";"2014JJ00";" 2479274";"    1053";"     0.4";"    5010";"    35.6";"  207550";"                                                  "
"380";"PV30  ";"2015JJ00";" 2488751";"      58";"     0.0";"    8308";"    37.0";"  214915";"                                                  "
"381";"PV30  ";"2016JJ00";" 2498749";"   -1877";"    -0.7";"   14026";"";"  221065";"                                                  "
"382";"PV30  ";"2017JJ00";" 2512531";"";"";"";"";"  225925";"                                                  "
"383";"PV30  ";"2018JJ00";" 2528844";"";"";"";"";"";"                                                  "
"384";"PV31  ";"1995JJ00";" 1130050";"   -1094";"    -1.0";"    2164";"";"";"                                                  "
"385";"PV31  ";"1996JJ00";" 1133669";"   -1092";"    -1.0";"    1540";"";"";"                                                  "
"386";"PV31  ";"1997JJ00";" 1136199";"   -1179";"    -1.0";"    1037";"";"";"                                                  "
"387";"PV31  ";"1998JJ00";" 1137935";"   -1970";"    -1.7";"    1333";"";"";"                                                  "
"388";"PV31  ";"1999JJ00";" 1139302";"   -1496";"    -1.3";"    1675";"";"";"                                                  "
"389";"PV31  ";"2000JJ00";" 1141192";"   -1299";"    -1.1";"     822";"";"";"                                                  "
"390";"PV31  ";"2001JJ00";" 1142679";"    -597";"    -0.5";"     -14";"";"";"                                                  "
"391";"PV31  ";"2002JJ00";" 1143296";"    -456";"    -0.4";"   -1876";"";"";"                                                  "
"392";"PV31  ";"2003JJ00";" 1141889";"   -1249";"    -1.1";"   -1824";"";"";"                                                  "
"393";"PV31  ";"2004JJ00";" 1139335";"    -481";"    -0.4";"   -2733";"";"";"                                                  "
"394";"PV31  ";"2005JJ00";" 1136695";"   -1421";"    -1.3";"   -2903";"";"";"                                                  "
"395";"PV31  ";"2006JJ00";" 1131938";"   -1108";"    -1.0";"   -2769";"    28.4";"";"                                                  "
"396";"PV31  ";"2007JJ00";" 1127805";"   -1381";"    -1.2";"   -2059";"    29.7";"";"                                                  "
"397";"PV31  ";"2008JJ00";" 1123705";"    -800";"    -0.7";"     639";"    31.4";"";"                                                  "
"398";"PV31  ";"2009JJ00";" 1122604";"   -1689";"    -1.5";"    2314";"    32.1";"";"                                                  "
"399";"PV31  ";"2010JJ00";" 1122701";"   -2007";"    -1.8";"    3051";"    32.4";"";"                                                  "
"400";"PV31  ";"2011JJ00";" 1122627";"   -1847";"    -1.6";"    3427";"    32.4";"";"                                                  "
"401";"PV31  ";"2012JJ00";" 1123075";"   -2200";"    -2.0";"    2918";"    32.5";"";"                                                  "
"402";"PV31  ";"2013JJ00";" 1121891";"   -2328";"    -2.1";"    2487";"    32.7";"   75375";"                                                  "
"403";"PV31  ";"2014JJ00";" 1120006";"   -2984";"    -2.7";"    3029";"    32.9";"   76245";"                                                  "
"404";"PV31  ";"2015JJ00";" 1117941";"   -2336";"    -2.1";"    3742";"    34.0";"   78110";"                                                  "
"405";"PV31  ";"2016JJ00";" 1116260";"    -759";"    -0.7";"    4624";"";"   80200";"                                                  "
"406";"PV31  ";"2017JJ00";" 1117546";"";"";"";"";"   81805";"                                                  "
"407";"PV31  ";"2018JJ00";" 1117314";"";"";"";"";"";"                                                  "
